Model,Accuracy,ROC-AUC,CV Mean,CV Std
Logistic Regression,0.8536585365853658,0.8201238390092879,0.79428983714698,0.01362423194815643
Random Forest,0.8130081300813008,0.8380804953560372,0.7719233147804576,0.034292776858497326
Gradient Boosting,0.8130081300813008,0.8060371517027863,0.7596578025149453,0.0264212688461953
SVM,0.6910569105691057,0.15356037151702787,0.686353329210472,0.003960415467327554
